Condition	Species	riboCIRC_ID	Genome_assembly	Genome_pos	Strand	Spliced_length	Transcript	Symbol	Ensembl	Dataset_count	Evidences	Other_ids
Condition-independent	Mouse	mmu_circSchip1_001	mm10	chr3:68616439-68621066	+	534	NM_013928	Schip1	ENSMUSG00000027777	1	3: RPF,cORF,m6A	circAtlas:mmu-Schip1_0003,circBase:mmu_circ_0010766,CIRCpedia:MMU_CIRCpedia_27021
Condition-independent	Mouse	mmu_circKpna4_001	mm10	chr3:69101051-69102248	-	218	NM_008467	Kpna4	ENSMUSG00000027782	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Kpna4_0002,CIRCpedia:MMU_CIRCpedia_27119
Condition-independent	Mouse	mmu_circ5830417I10Rik_001	mm10	chr3:88815631-88817761	+	1869	NR_028359	5830417I10Rik	ENSMUSG00000078684	18	3: RPF,cORF,m6A	CIRCpedia:MMU_CIRCpedia_211872
Condition-independent	Mouse	mmu_circGon4l_001	mm10	chr3:88836989-88837520	+	531	NM_001242372	Gon4l	ENSMUSG00000054199	1	4: RPF,cORF,MS,m6A	CIRCpedia:MMU_CIRCpedia_37532
Condition-independent	Mouse	mmu_circGon4l_002	mm10	chr3:88836989-88899074	+	5006	NM_001242372	Gon4l	ENSMUSG00000054199	1	3: RPF,cORF,m6A	CIRCpedia:MMU_CIRCpedia_212061
Condition-independent	Mouse	mmu_circAsh1l_001	mm10	chr3:88965811-88985790	+	5075	NM_138679	Ash1l	ENSMUSG00000028053	2	4: RPF,cORF,MS,m6A	circAtlas:mmu-Ash1l_0016,circBase:mmu_circ_0001147,CIRCpedia:MMU_CIRCpedia_33251
Condition-independent	Mouse	mmu_circAnp32e_001	mm10	chr3:95937881-95944361	+	316	NM_023210	Anp32e	ENSMUSG00000015749	1	2: RPF,cORF	circAtlas:mmu-Anp32e_0008
Condition-independent	Mouse	mmu_circPdzk1_001	mm10	chr3:96850227-96851740	+	462	NM_001146001	Pdzk1	ENSMUSG00000038298	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Pdzk1_0001,CIRCpedia:MMU_CIRCpedia_39798
Condition-independent	Mouse	mmu_circMan1a2_001	mm10	chr3:100644540-100656274	-	553	NM_010763	Man1a2	ENSMUSG00000008763	1	3: RPF,cORF,m6A	circAtlas:mmu-Man1a2_0003,circBase:mmu_circ_0010297,CIRCpedia:MMU_CIRCpedia_240
Condition-independent	Mouse	mmu_circAtp1a1_001	mm10	chr3:101586126-101589965	-	502	NM_144900	Atp1a1	ENSMUSG00000033161	1	2: RPF,cORF	circAtlas:mmu-Atp1a1_0053
Condition-independent	Mouse	mmu_circLrig2_001	mm10	chr3:104479781-104481935	-	150	NM_001025067	Lrig2	ENSMUSG00000032913	1	2: RPF,cORF	circAtlas:mmu-Lrig2_0014,circBase:mmu_circ_0010326,CIRCpedia:MMU_CIRCpedia_1234
Condition-independent	Mouse	mmu_circSnx7_001	mm10	chr3:117829576-117840038	-	776	NM_029655	Snx7	ENSMUSG00000028007	1	2: RPF,cORF	circAtlas:mmu-Snx7_0001,circBase:mmu_circ_0010391,CIRCpedia:MMU_CIRCpedia_4368
Condition-independent	Mouse	mmu_circDpyd_001	mm10	chr3:118674488-118759743	+	373	NM_170778	Dpyd	ENSMUSG00000033308	1	2: RPF,cORF	circAtlas:mmu-Dpyd_0010
Condition-independent	Mouse	mmu_circDpyd_002	mm10	chr3:118781835-118781997	+	162	NM_170778	Dpyd	ENSMUSG00000033308	2	2: RPF,cORF	circAtlas:mmu-Dpyd_0070
Condition-independent	Mouse	mmu_circDpyd_003	mm10	chr3:118897093-118917283	+	489	NM_170778	Dpyd	ENSMUSG00000033308	1	2: RPF,cORF	circAtlas:mmu-Dpyd_0008,CIRCpedia:MMU_CIRCpedia_39812
Condition-independent	Mouse	mmu_circDpyd_004	mm10	chr3:118917072-118944335	+	396	NM_170778	Dpyd	ENSMUSG00000033308	1	3: RPF,cORF,m6A	circAtlas:mmu-Dpyd_0028,CIRCpedia:MMU_CIRCpedia_4635
Condition-independent	Mouse	mmu_circDpyd_005	mm10	chr3:118917072-119065043	+	777	NM_170778	Dpyd	ENSMUSG00000033308	1	3: RPF,cORF,m6A	circAtlas:mmu-Dpyd_0026,CIRCpedia:MMU_CIRCpedia_4637
Condition-independent	Mouse	mmu_circDpyd_006	mm10	chr3:118999169-118999385	+	216	NM_170778	Dpyd	ENSMUSG00000033308	2	2: RPF,cORF	circAtlas:mmu-Dpyd_0012,CIRCpedia:MMU_CIRCpedia_39816
Condition-independent	Mouse	mmu_circDpyd_007	mm10	chr3:118999169-119065043	+	381	NM_170778	Dpyd	ENSMUSG00000033308	1	2: RPF,cORF	circAtlas:mmu-Dpyd_0036,CIRCpedia:MMU_CIRCpedia_39817
Condition-independent	Mouse	mmu_circDpyd_008	mm10	chr3:119064878-119141985	+	424	NM_170778	Dpyd	ENSMUSG00000033308	2	2: RPF,cORF	circAtlas:mmu-Dpyd_0009,CIRCpedia:MMU_CIRCpedia_39819
Condition-independent	Mouse	mmu_circDpyd_009	mm10	chr3:119064878-119314931	+	882	NM_170778	Dpyd	ENSMUSG00000033308	1	3: RPF,cORF,m6A	CIRCpedia:MMU_CIRCpedia_39820
Condition-independent	Mouse	mmu_circDpyd_010	mm10	chr3:119135721-119141985	+	153	NM_170778	Dpyd	ENSMUSG00000033308	1	3: RPF,cORF,MS	circAtlas:mmu-Dpyd_0075
Condition-independent	Mouse	mmu_circDpyd_011	mm10	chr3:119314751-119314931	+	180	NM_170778	Dpyd	ENSMUSG00000033308	1	3: RPF,cORF,MS	CIRCpedia:MMU_CIRCpedia_39825
Condition-independent	Mouse	mmu_circAbcd3_001	mm10	chr3:121791733-121796485	-	225	NM_008991	Abcd3	ENSMUSG00000028127	1	3: RPF,cORF,m6A	circAtlas:mmu-Abcd3_0001,CIRCpedia:MMU_CIRCpedia_37558
Condition-independent	Mouse	mmu_circNdst4_001	mm10	chr3:125561422-125570896	+	243	NM_022565	Ndst4	ENSMUSG00000027971	1	2: RPF,cORF	circAtlas:mmu-Ndst4_0014,CIRCpedia:MMU_CIRCpedia_6508
Condition-independent	Mouse	mmu_circEgf_001	mm10	chr3:129707208-129716778	-	646	NM_001329594	Egf	ENSMUSG00000028017	1	3: RPF,cORF,m6A	circAtlas:mmu-Egf_0015
Condition-independent	Mouse	mmu_circEgf_002	mm10	chr3:129735801-129740041	-	810	NM_010113	Egf	ENSMUSG00000028017	1	3: RPF,cORF,m6A	circAtlas:mmu-Egf_0004
Condition-independent	Mouse	mmu_circPpp3ca_001	mm10	chr3:136797725-136797926	+	201	NM_001293622	Ppp3ca	ENSMUSG00000028161	1	2: RPF,cORF	circAtlas:mmu-Ppp3ca_0034,circBase:mmu_circ_0010480,CIRCpedia:MMU_CIRCpedia_8461
Condition-independent	Mouse	mmu_circDdah1_001	mm10	chr3:145845704-145853276	+	294	NM_026993	Ddah1	ENSMUSG00000028194	1	3: RPF,cORF,m6A	circAtlas:mmu-Ddah1_0001,circBase:mmu_circ_0010514,CIRCpedia:MMU_CIRCpedia_9618,TSCD:chr3:145845704-145853276
Condition-independent	Mouse	mmu_circSt6galnac3_001	mm10	chr3:153411461-153411871	-	410	NM_011372	St6galnac3	ENSMUSG00000052544	1	3: RPF,cORF,m6A	circAtlas:mmu-St6galnac3_0004,circBase:mmu_circ_0001179,CIRCpedia:MMU_CIRCpedia_10468
Condition-independent	Mouse	mmu_circAsph_001	mm10	chr4:9594662-9639347	-	549	NM_001177851	Asph	ENSMUSG00000028207	1	2: RPF,cORF	circAtlas:mmu-Asph_0029
Condition-independent	Mouse	mmu_circAsph_002	mm10	chr4:9635900-9639347	-	264	NM_133723	Asph	ENSMUSG00000028207	1	2: RPF,cORF	circAtlas:mmu-Asph_0001,CIRCpedia:MMU_CIRCpedia_35354
Condition-independent	Mouse	mmu_circRunx1t1_001	mm10	chr4:13835632-13846957	+	652	NM_001111027	Runx1t1	ENSMUSG00000006586	1	3: RPF,cORF,m6A	circAtlas:mmu-Runx1t1_0001,circBase:mmu_circ_0001183,CIRCpedia:MMU_CIRCpedia_8674,TSCD:chr4:13835632-13846957
Condition-independent	Mouse	mmu_circEpha7_001	mm10	chr4:28817444-28871996	+	1227	NM_001122889	Epha7	ENSMUSG00000028289	1	3: RPF,cORF,m6A	circAtlas:mmu-Epha7_0003,circBase:mmu_circ_0011550,CIRCpedia:MMU_CIRCpedia_15307
Condition-independent	Mouse	mmu_circEpha7_002	mm10	chr4:28870556-28871996	+	492	NM_001122889	Epha7	ENSMUSG00000028289	1	3: RPF,cORF,m6A	circAtlas:mmu-Epha7_0001,circBase:mmu_circ_0011552,CIRCpedia:MMU_CIRCpedia_15313
Condition-independent	Mouse	mmu_circRngtt_001	mm10	chr4:33325058-33339092	+	618	NM_011884	Rngtt	ENSMUSG00000028274	1	3: RPF,cORF,m6A	circAtlas:mmu-Rngtt_0049
Condition-independent	Mouse	mmu_circDnaic1_001	mm10	chr4:41625103-41625351	+	248	NM_175138	Dnaic1	ENSMUSG00000061322	1	2: RPF,cORF	circAtlas:mmu-Dnaic1_0002,circBase:mmu_circ_0011605,CIRCpedia:MMU_CIRCpedia_19679,TSCD:chr4:41625103-41625351
Condition-independent	Mouse	mmu_circClta_001	mm10	chr4:44018812-44019991	+	156	NM_001080384	Clta	ENSMUSG00000028478	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Clta_0002,CIRCpedia:MMU_CIRCpedia_213098
Condition-independent	Mouse	mmu_circAnp32b_001	mm10	chr4:46460089-46468787	+	502	NM_130889	Anp32b	ENSMUSG00000028333	1	3: RPF,cORF,m6A	circAtlas:mmu-Anp32b_0001,circBase:mmu_circ_0011640,CIRCpedia:MMU_CIRCpedia_20876
Condition-independent	Mouse	mmu_circAnp32b_002	mm10	chr4:46460089-46471467	+	220	NM_130889	Anp32b	ENSMUSG00000028333	1	2: RPF,cORF	circAtlas:mmu-Anp32b_0003,CIRCpedia:MMU_CIRCpedia_20878
Condition-independent	Mouse	mmu_circAnp32b_003	mm10	chr4:46469882-46471467	+	195	NM_130889	Anp32b	ENSMUSG00000028333	2	3: RPF,cORF,m6A	circAtlas:mmu-Anp32b_0006
Condition-independent	Mouse	mmu_circAbca1_001	mm10	chr4:53127596-53133015	-	355	NM_013454	Abca1	ENSMUSG00000015243	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Abca1_0001,circBase:mmu_circ_0011676,CIRCpedia:MMU_CIRCpedia_22530
Condition-independent	Mouse	mmu_circRad23b_001	mm10	chr4:55366776-55385601	+	751	NM_009011	Rad23b	ENSMUSG00000028426	1	2: RPF,cORF	circAtlas:mmu-Rad23b_0001,circBase:mmu_circ_0011690,CIRCpedia:MMU_CIRCpedia_23138
Condition-independent	Mouse	mmu_circRad23b_002	mm10	chr4:55378233-55383714	+	184	NM_009011	Rad23b	ENSMUSG00000028426	1	2: RPF,cORF	circAtlas:mmu-Rad23b_0013,CIRCpedia:MMU_CIRCpedia_224959
Condition-independent	Mouse	mmu_circPtbp3_001	mm10	chr4:59514273-59524476	-	399	NM_144904	Ptbp3	ENSMUSG00000028382	3	2: RPF,cORF	circAtlas:mmu-Ptbp3_0007,circBase:mmu_circ_0011724,CIRCpedia:MMU_CIRCpedia_24552
Condition-independent	Mouse	mmu_circBrinp1_001	mm10	chr4:68904736-68905004	-	268	NM_019967	Brinp1	ENSMUSG00000028351	1	2: RPF,cORF	circAtlas:mmu-Brinp1_0001,circBase:mmu_circ_0011755,CIRCpedia:MMU_CIRCpedia_27068
Condition-independent	Mouse	mmu_circTle1_001	mm10	chr4:72157462-72170770	-	360	NM_011599	Tle1	ENSMUSG00000008305	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Tle1_0004
Condition-independent	Mouse	mmu_circTle1_002	mm10	chr4:72169121-72170770	-	138	NM_011599	Tle1	ENSMUSG00000008305	2	2: RPF,cORF	circAtlas:mmu-Tle1_0002,circBase:mmu_circ_0011764,CIRCpedia:MMU_CIRCpedia_27982,TSCD:chr4:72169121-72170770
Condition-independent	Mouse	mmu_circPtprd_001	mm10	chr4:76039280-76059829	-	372	NM_001368993	Ptprd	ENSMUSG00000028399	1	2: RPF,cORF	circAtlas:mmu-Ptprd_0025,circBase:mmu_circ_0011775,CIRCpedia:MMU_CIRCpedia_29207
Condition-independent	Mouse	mmu_circPtprd_002	mm10	chr4:76102954-76133332	-	1131	NM_001368993	Ptprd	ENSMUSG00000028399	1	3: RPF,cORF,m6A	circAtlas:mmu-Ptprd_0027,circBase:mmu_circ_0001219,CIRCpedia:MMU_CIRCpedia_29240
Condition-independent	Mouse	mmu_circPtprd_003	mm10	chr4:76243644-76246898	-	288	NM_001368993	Ptprd	ENSMUSG00000028399	2	4: RPF,cORF,MS,m6A	circAtlas:mmu-Ptprd_0015,circBase:mmu_circ_0011781,CIRCpedia:MMU_CIRCpedia_29287
Condition-independent	Mouse	mmu_circPtprd_004	mm10	chr4:76325179-76325345	-	166	NM_001368993	Ptprd	ENSMUSG00000028399	4	4: RPF,cORF,MS,m6A	circAtlas:mmu-Ptprd_0089,CIRCpedia:MMU_CIRCpedia_29314,TSCD:chr4:76325179-76325345
Condition-independent	Mouse	mmu_circNfib_001	mm10	chr4:82350388-82359800	-	309	NM_001286131	Nfib	ENSMUSG00000008575	2	3: RPF,cORF,m6A	circAtlas:mmu-Nfib_0002,circBase:mmu_circ_0011795,CIRCpedia:MMU_CIRCpedia_31042,TSCD:chr4:82350388-82359800
Condition-independent	Mouse	mmu_circNfib_002	mm10	chr4:82350388-82383661	-	363	NM_001286131	Nfib	ENSMUSG00000008575	2	3: RPF,cORF,m6A	circAtlas:mmu-Nfib_0001,circBase:mmu_circ_0001221,CIRCpedia:MMU_CIRCpedia_31043
Condition-independent	Mouse	mmu_circZdhhc21_001	mm10	chr4:82835445-82854115	-	694	NM_026647	Zdhhc21	ENSMUSG00000028403	2	3: RPF,cORF,m6A	circAtlas:mmu-Zdhhc21_0002,circBase:mmu_circ_0001222,CIRCpedia:MMU_CIRCpedia_31129
Condition-independent	Mouse	mmu_circBnc2_001	mm10	chr4:84291692-84293662	-	1970	NM_001369084	Bnc2	ENSMUSG00000028487	3	4: RPF,cORF,MS,m6A	circAtlas:mmu-Bnc2_0001,circBase:mmu_circ_0001223,CIRCpedia:MMU_CIRCpedia_31591
Condition-independent	Mouse	mmu_circFggy_001	mm10	chr4:95696959-95738917	+	245	NM_001113412	Fggy	ENSMUSG00000028573	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Fggy_0022,CIRCpedia:MMU_CIRCpedia_229537
Condition-independent	Mouse	mmu_circCyp2j9_001	mm10	chr4:96571934-96585991	-	452	NM_028979	Cyp2j9	ENSMUSG00000015224	2	2: RPF,cORF	circAtlas:mmu-Cyp2j9_0001,CIRCpedia:MMU_CIRCpedia_35390
Condition-independent	Mouse	mmu_circCyp2j5_001	mm10	chr4:96641271-96641448	-	177	NM_010007	Cyp2j5	ENSMUSG00000052520	4	2: RPF,cORF	circAtlas:mmu-Cyp2j5_0001,CIRCpedia:MMU_CIRCpedia_39709
Condition-independent	Mouse	mmu_circAk4_001	mm10	chr4:101447159-101447279	+	120	NM_001177602	Ak4	ENSMUSG00000028527	3	3: RPF,cORF,MS	CIRCpedia:MMU_CIRCpedia_39710
Condition-independent	Mouse	mmu_circYipf1_001	mm10	chr4:107336113-107345191	+	636	NM_145550	Yipf1	ENSMUSG00000057375	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Yipf1_0002
Condition-independent	Mouse	mmu_circScp2_001	mm10	chr4:108055438-108063988	-	233	NM_011327	Scp2	ENSMUSG00000028603	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Scp2_0011,CIRCpedia:MMU_CIRCpedia_2220,TSCD:chr4:108055438-108063988
Condition-independent	Mouse	mmu_circScp2_002	mm10	chr4:108063885-108112284	-	1269	NM_011327	Scp2	ENSMUSG00000028603	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Scp2_0014
Condition-independent	Mouse	mmu_circScp2_003	mm10	chr4:108071256-108074463	-	262	NM_011327	Scp2	ENSMUSG00000028603	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Scp2_0016
Condition-independent	Mouse	mmu_circScp2_004	mm10	chr4:108102290-108112284	-	327	NM_011327	Scp2	ENSMUSG00000028603	1	3: RPF,cORF,m6A	circAtlas:mmu-Scp2_0015,CIRCpedia:MMU_CIRCpedia_39718
Condition-independent	Mouse	mmu_circZfyve9_001	mm10	chr4:108717788-108727545	-	2220	NM_001347163	Zfyve9	ENSMUSG00000034557	1	3: RPF,cORF,m6A	circAtlas:mmu-Zfyve9_0005,circBase:mmu_circ_0001241,CIRCpedia:MMU_CIRCpedia_2501
Condition-independent	Mouse	mmu_circOsbpl9_001	mm10	chr4:109083088-109087485	-	356	NM_001134791	Osbpl9	ENSMUSG00000028559	1	2: RPF,cORF	CIRCpedia:MMU_CIRCpedia_2568
Condition-independent	Mouse	mmu_circNasp_001	mm10	chr4:116614329-116627429	-	338	NM_016777	Nasp	ENSMUSG00000028693	1	3: RPF,cORF,m6A	circAtlas:mmu-Nasp_0013
Condition-independent	Mouse	mmu_circAkr1a1_001	mm10	chr4:116641857-116645593	-	210	NM_021473	Akr1a1	ENSMUSG00000028692	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Akr1a1_0002
Condition-independent	Mouse	mmu_circEri3_001	mm10	chr4:117582599-117593162	+	269	NM_001285902	Eri3	ENSMUSG00000033423	1	2: RPF,cORF	circAtlas:mmu-Eri3_0003,circBase:mmu_circ_0001249,CIRCpedia:MMU_CIRCpedia_4290
Condition-independent	Mouse	mmu_circPtprf_001	mm10	chr4:118269175-118284852	-	504	NM_011213	Ptprf	ENSMUSG00000033295	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Ptprf_0005,circBase:mmu_circ_0011105,CIRCpedia:MMU_CIRCpedia_4464
Condition-independent	Mouse	mmu_circS100pbp_001	mm10	chr4:129178240-129183717	-	726	NM_001347203	S100pbp	ENSMUSG00000040928	1	3: RPF,cORF,m6A	circAtlas:mmu-S100pbp_0001,circBase:mmu_circ_0001264,CIRCpedia:MMU_CIRCpedia_7330
Condition-independent	Mouse	mmu_circRbbp4_001	mm10	chr4:129317647-129322869	-	285	NM_009030	Rbbp4	ENSMUSG00000057236	2	2: RPF,cORF	circAtlas:mmu-Rbbp4_0001,circBase:mmu_circ_0011224,CIRCpedia:MMU_CIRCpedia_7348
Condition-independent	Mouse	mmu_circPum1_001	mm10	chr4:130668924-130701110	+	443	NM_001356565	Pum1	ENSMUSG00000028580	1	3: RPF,cORF,m6A	circAtlas:mmu-Pum1_0004,circBase:mmu_circ_0001271,CIRCpedia:MMU_CIRCpedia_7543
Condition-independent	Mouse	mmu_circPum1_002	mm10	chr4:130718153-130719351	+	288	NM_030722	Pum1	ENSMUSG00000028580	1	3: RPF,cORF,m6A	circAtlas:mmu-Pum1_0021,circBase:mmu_circ_0001272,CIRCpedia:MMU_CIRCpedia_7562
Condition-independent	Mouse	mmu_circLaptm5_001	mm10	chr4:130926104-130929542	+	420	NM_010686	Laptm5	ENSMUSG00000028581	1	2: RPF,cORF	CIRCpedia:MMU_CIRCpedia_213151
Condition-independent	Mouse	mmu_circLaptm5_002	mm10	chr4:130926104-130930866	+	516	NM_010686	Laptm5	ENSMUSG00000028581	1	2: RPF,cORF	circAtlas:mmu-Laptm5_0001
Condition-independent	Mouse	mmu_circRcan3_001	mm10	chr4:135420245-135425445	-	406	NM_022980	Rcan3	ENSMUSG00000059713	1	3: RPF,cORF,m6A	circAtlas:mmu-Rcan3_0007
Condition-independent	Mouse	mmu_circCdc42_001	mm10	chr4:137335974-137336129	-	155	NM_009861	Cdc42	ENSMUSG00000006699	1	3: RPF,cORF,m6A	circAtlas:mmu-Cdc42_0005,circBase:mmu_circ_0011320,CIRCpedia:MMU_CIRCpedia_40658
Condition-independent	Mouse	mmu_circCapzb_001	mm10	chr4:139257260-139262097	+	236	NM_001271405	Capzb	ENSMUSG00000028745	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Capzb_0002,CIRCpedia:MMU_CIRCpedia_8791
Condition-independent	Mouse	mmu_circNecap2_001	mm10	chr4:141070055-141075060	-	575	NM_025383	Necap2	ENSMUSG00000028923	1	3: RPF,cORF,m6A	circAtlas:mmu-Necap2_0002,CIRCpedia:MMU_CIRCpedia_229588
Condition-independent	Mouse	mmu_circSpen_001	mm10	chr4:141516835-141522392	-	804	NM_001347235	Spen	ENSMUSG00000040761	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Spen_0014,circBase:mmu_circ_0011379,CIRCpedia:MMU_CIRCpedia_9092
Condition-independent	Mouse	mmu_circDdi2_001	mm10	chr4:141692254-141698858	-	423	NM_001017966	Ddi2	ENSMUSG00000078515	1	3: RPF,cORF,m6A	circAtlas:mmu-Ddi2_0009,CIRCpedia:MMU_CIRCpedia_9114
Condition-independent	Mouse	mmu_circDdi2_002	mm10	chr4:141698729-141703239	-	257	NM_001017966	Ddi2	ENSMUSG00000078515	1	3: RPF,cORF,m6A	circAtlas:mmu-Ddi2_0017,CIRCpedia:MMU_CIRCpedia_9117
Condition-independent	Mouse	mmu_circKif1b_001	mm10	chr4:149226262-149253751	-	247	NM_207682	Kif1b	ENSMUSG00000063077	11	2: RPF,cORF	circAtlas:mmu-Kif1b_0050
Condition-independent	Mouse	mmu_circKif1b_002	mm10	chr4:149291301-149291476	-	175	NM_207682	Kif1b	ENSMUSG00000063077	1	3: RPF,cORF,m6A	circAtlas:mmu-Kif1b_0032,CIRCpedia:MMU_CIRCpedia_10002
Condition-independent	Mouse	mmu_circH6pd_001	mm10	chr4:149994468-149996381	-	755	NM_173371	H6pd	ENSMUSG00000028980	2	4: RPF,cORF,MS,m6A	circAtlas:mmu-H6pd_0001,circBase:mmu_circ_0011434,CIRCpedia:MMU_CIRCpedia_10043
Condition-independent	Mouse	mmu_circRere_001	mm10	chr4:150406195-150406664	+	469	NM_001085492	Rere	ENSMUSG00000039852	1	3: RPF,cORF,m6A	circAtlas:mmu-Rere_0023,circBase:mmu_circ_0001295,CIRCpedia:MMU_CIRCpedia_10055
Condition-independent	Mouse	mmu_circRere_002	mm10	chr4:150406195-150439468	+	666	NM_001085492	Rere	ENSMUSG00000039852	1	3: RPF,cORF,m6A	circAtlas:mmu-Rere_0006,circBase:mmu_circ_0011436,CIRCpedia:MMU_CIRCpedia_10057
Condition-independent	Mouse	mmu_circRere_003	mm10	chr4:150468694-150510038	+	582	NM_001085492	Rere	ENSMUSG00000039852	1	3: RPF,cORF,m6A	circAtlas:mmu-Rere_0010,circBase:mmu_circ_0001303,CIRCpedia:MMU_CIRCpedia_10093
Condition-independent	Mouse	mmu_circRere_004	mm10	chr4:150500002-150510038	+	274	NM_001085492	Rere	ENSMUSG00000039852	1	2: RPF,cORF	circAtlas:mmu-Rere_0032,circBase:mmu_circ_0001305,CIRCpedia:MMU_CIRCpedia_10101
Condition-independent	Mouse	mmu_circCamta1_001	mm10	chr4:151830417-151835883	-	331	NM_001195565	Camta1	ENSMUSG00000014592	1	2: RPF,cORF	circAtlas:mmu-Camta1_0014,circBase:mmu_circ_0001306,CIRCpedia:MMU_CIRCpedia_10253
Condition-independent	Mouse	mmu_circRer1_001	mm10	chr4:155075588-155082754	-	508	NM_026395	Rer1	ENSMUSG00000029048	1	3: RPF,cORF,m6A	circAtlas:mmu-Rer1_0001,CIRCpedia:MMU_CIRCpedia_226607
Condition-independent	Mouse	mmu_circGnb1_002	mm10	chr4:155515630-155543193	+	519	NM_008142	Gnb1	ENSMUSG00000029064	1	3: RPF,cORF,m6A	circAtlas:mmu-Gnb1_0003,circBase:mmu_circ_0011492,CIRCpedia:MMU_CIRCpedia_10607
Condition-independent	Mouse	mmu_circCrot_001	mm10	chr5:8973585-8978291	-	543	NM_023733	Crot	ENSMUSG00000003623	1	2: RPF,cORF	circAtlas:mmu-Crot_0002,CIRCpedia:MMU_CIRCpedia_39577
Condition-independent	Mouse	mmu_circMagi2_001	mm10	chr5:20065551-20065671	+	120	NM_015823	Magi2	ENSMUSG00000040003	1	3: RPF,cORF,MS	CIRCpedia:MMU_CIRCpedia_12807
Condition-independent	Mouse	mmu_circDnajb6_001	mm10	chr5:29764398-29766395	+	345	NM_001037940	Dnajb6	ENSMUSG00000029131	1	3: RPF,cORF,m6A	CIRCpedia:MMU_CIRCpedia_37238
Condition-independent	Mouse	mmu_circHadhb_001	mm10	chr5:30166664-30169595	+	245	NM_001289799	Hadhb	ENSMUSG00000059447	1	3: RPF,cORF,MS	CIRCpedia:MMU_CIRCpedia_15736
Condition-independent	Mouse	mmu_circPrr14l_001	mm10	chr5:32819865-32835688	-	406	NM_194340	Prr14l	ENSMUSG00000054280	1	2: RPF,cORF	circAtlas:mmu-Prr14l_0001,circBase:mmu_circ_0001333,CIRCpedia:MMU_CIRCpedia_16668
Condition-independent	Mouse	mmu_circNsd2_001	mm10	chr5:33855253-33855736	+	483	NM_175231	Nsd2	ENSMUSG00000057406	1	3: RPF,cORF,m6A	circAtlas:mmu-Whsc1_0013
Condition-independent	Mouse	mmu_circRnf4_001	mm10	chr5:34342521-34350838	+	584	NM_011278	Rnf4	ENSMUSG00000029110	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Rnf4_0003,circBase:mmu_circ_0001339,CIRCpedia:MMU_CIRCpedia_17249
Condition-independent	Mouse	mmu_circFam193a_001	mm10	chr5:34410580-34426501	+	804	NM_001243123	Fam193a	ENSMUSG00000037210	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Fam193a_0007,circBase:mmu_circ_0012566,CIRCpedia:MMU_CIRCpedia_17288
Condition-independent	Mouse	mmu_circTbc1d14_001	mm10	chr5:36514038-36525048	-	508	NM_001113364	Tbc1d14	ENSMUSG00000029192	1	3: RPF,cORF,m6A	circAtlas:mmu-Tbc1d14_0006,CIRCpedia:MMU_CIRCpedia_220361
Condition-independent	Mouse	mmu_circJakmip1_001	mm10	chr5:37104812-37117570	+	276	NM_001347348	Jakmip1	ENSMUSG00000063646	1	2: RPF,cORF	circAtlas:mmu-Jakmip1_0006
Condition-independent	Mouse	mmu_circNcapg_001	mm10	chr5:45672272-45688680	+	1563	NM_019438	Ncapg	ENSMUSG00000015880	1	3: RPF,cORF,m6A	circAtlas:mmu-Ncapg_0010
Condition-independent	Mouse	mmu_circRfc1_001	mm10	chr5:65284848-65303208	-	596	NM_001347358	Rfc1	ENSMUSG00000029191	1	2: RPF,cORF	circAtlas:mmu-Rfc1_0003,CIRCpedia:MMU_CIRCpedia_37263
Condition-independent	Mouse	mmu_circUbe2k_001	mm10	chr5:65565988-65594548	+	465	NM_016786	Ube2k	ENSMUSG00000029203	1	3: RPF,cORF,m6A	circAtlas:mmu-Ube2k_0001,circBase:mmu_circ_0001350,CIRCpedia:MMU_CIRCpedia_26200
Condition-independent	Mouse	mmu_circFip1l1_001	mm10	chr5:74536800-74542112	+	247	NM_001159574	Fip1l1	ENSMUSG00000029227	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Fip1l1_0037
Condition-independent	Mouse	mmu_circGc_001	mm10	chr5:89426036-89426169	-	133	NM_008096	Gc	ENSMUSG00000035540	1	3: RPF,cORF,MS	CIRCpedia:MMU_CIRCpedia_39619
Condition-independent	Mouse	mmu_circGc_002	mm10	chr5:89434950-89435648	-	228	NM_008096	Gc	ENSMUSG00000035540	2	2: RPF,cORF	circAtlas:mmu-Gc_0008
Condition-independent	Mouse	mmu_circAlb_001	mm10	chr5:90462699-90464195	+	345	NM_009654	Alb	ENSMUSG00000029368	1	3: RPF,cORF,m6A	circAtlas:mmu-Alb_0119
