Condition	Species	riboCIRC_ID	Genome_assembly	Genome_pos	Strand	Spliced_length	Transcript	Symbol	Ensembl	Dataset_count	Evidences	Algorithm
Condition-dependent	Mouse	mmu_circKhdrbs3_001	mm10	chr15:68995051-69049461	+	802	NM_010158	Khdrbs3	ENSMUSG00000022332	1	3: RPF,cORF,m6A	CIRCexplorer2,CIRI2
Condition-dependent	Mouse	mmu_circCsf2rb2_001	mm10	chr15:78296975-78298378	-	364	NM_001287389	Csf2rb2	ENSMUSG00000071714	1	3: RPF,cORF,m6A	CIRCexplorer2
Condition-dependent	Mouse	mmu_circDdx17_001	mm10	chr15:79535956-79537545	-	233	NM_001040187	Ddx17	ENSMUSG00000055065	1	3: RPF,cORF,m6A	CIRCexplorer2
Condition-dependent	Mouse	mmu_circTcf20_001	mm10	chr15:82851512-82857284	-	5772	NM_013836	Tcf20	ENSMUSG00000041852	5	3: RPF,cORF,m6A	CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circAlg12_001	mm10	chr15:88811296-88812159	-	328	NM_001142357	Alg12	ENSMUSG00000035845	4	2: RPF,cORF	CIRCexplorer2,CIRI2,DCC
Condition-dependent	Mouse	mmu_circCpne8_002	mm10	chr15:90568248-90619735	-	459	NM_001357979	Cpne8	ENSMUSG00000052560	1	3: RPF,cORF,MS	CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circPphln1_001	mm10	chr15:93424013-93465245	+	672	NM_146062	Pphln1	ENSMUSG00000036167	1	3: RPF,cORF,m6A	CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circNell2_001	mm10	chr15:95296158-95435430	-	1328	NM_001356951	Nell2	ENSMUSG00000022454	1	3: RPF,cORF,m6A	CIRCexplorer2
Condition-dependent	Mouse	mmu_circSenp1_001	mm10	chr15:98084969-98087133	-	179	NM_144851	Senp1	ENSMUSG00000033075	1	2: RPF,cORF	CIRI2,CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circTmbim6_001	mm10	chr15:99401579-99402169	+	193	NM_026669	Tmbim6	ENSMUSG00000023010	1	4: RPF,cORF,MS,m6A	CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circMed15_001	mm10	chr16:17683158-17697694	-	170	NM_033609	Med15	ENSMUSG00000012114	1	3: RPF,cORF,m6A	CIRI2,CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circLrch3_001	mm10	chr16:32950291-32961744	+	625	NM_001310674	Lrch3	ENSMUSG00000022801	2	4: RPF,cORF,MS,m6A	CIRCexplorer2,DCC,CIRI2
Condition-dependent	Mouse	mmu_circZfp148_001	mm10	chr16:33421320-33434974	+	567	NM_011749	Zfp148	ENSMUSG00000022811	3	3: RPF,cORF,m6A	CIRCexplorer2
Condition-dependent	Mouse	mmu_circCadm2_001	mm10	chr16:66882732-66953300	-	177	NM_178721	Cadm2	ENSMUSG00000064115	1	2: RPF,cORF	CIRCexplorer2,CIRI2
Condition-dependent	Mouse	mmu_circNrip1_001	mm10	chr16:76330745-76352549	-	197	NM_173440	Nrip1	ENSMUSG00000048490	1	3: RPF,cORF,m6A	CIRI2
Condition-dependent	Mouse	mmu_circTtc3_001	mm10	chr16:94383911-94393174	+	856	NM_009441	Ttc3	ENSMUSG00000040785	1	3: RPF,cORF,m6A	CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circTtc3_002	mm10	chr16:94383911-94403368	+	911	NM_009441	Ttc3	ENSMUSG00000040785	3	3: RPF,cORF,m6A	CIRCexplorer2,CIRI2,DCC
Condition-dependent	Mouse	mmu_circBtnl1_001	mm10	chr17:34380960-34382488	+	558	NM_001111094	Btnl1	ENSMUSG00000062638	1	2: RPF,cORF	CIRI2,CIRCexplorer2
Condition-dependent	Mouse	mmu_circVars_001	mm10	chr17:35013264-35013747	+	231	NM_011690	Vars	ENSMUSG00000007029	1	4: RPF,cORF,MS,m6A	CIRI2,CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circSatb1_002	mm10	chr17:51767891-51809287	-	1609	NM_001163632	Satb1	ENSMUSG00000023927	1	3: RPF,cORF,m6A	CIRI2,CIRCexplorer2
Condition-dependent	Mouse	mmu_circAdgre1_001	mm10	chr17:57406833-57408495	+	297	NM_010130	Adgre1	ENSMUSG00000004730	1	2: RPF,cORF	CIRI2,CIRCexplorer2
Condition-dependent	Mouse	mmu_circAdgre1_002	mm10	chr17:57419321-57420524	+	262	NM_010130	Adgre1	ENSMUSG00000004730	1	4: RPF,cORF,MS,m6A	CIRI2,CIRCexplorer2
Condition-dependent	Mouse	mmu_circCrim1_001	mm10	chr17:78237741-78237915	+	174	NM_015800	Crim1	ENSMUSG00000024074	1	3: RPF,cORF,m6A	CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circMap4k3_001	mm10	chr17:80653861-80655921	-	169	NM_001290345	Map4k3	ENSMUSG00000024242	1	3: RPF,cORF,m6A	CIRCexplorer2,CIRI2
Condition-dependent	Mouse	mmu_circSlc8a1_003	mm10	chr17:81647808-81649638	-	1830	NM_011406	Slc8a1	ENSMUSG00000054640	1	3: RPF,cORF,m6A	CIRI2
Condition-dependent	Mouse	mmu_circFoxn2_001	mm10	chr17:88462712-88463263	+	551	NM_180974	Foxn2	ENSMUSG00000034998	2	3: RPF,cORF,m6A	CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circZeb1_001	mm10	chr18:5705042-5705243	+	201	NM_011546	Zeb1	ENSMUSG00000024238	1	3: RPF,cORF,m6A	CIRCexplorer2
Condition-dependent	Mouse	mmu_circCdh2_001	mm10	chr18:16774507-16774619	-	112	NM_007664	Cdh2	ENSMUSG00000024304	1	2: RPF,cORF	CIRCexplorer2
Condition-dependent	Mouse	mmu_circAW554918_001	mm10	chr18:25339713-25344962	+	770	NM_001033532	AW554918	ENSMUSG00000033632	1	4: RPF,cORF,MS,m6A	CIRCexplorer2,CIRI2
Condition-dependent	Mouse	mmu_circSap130_001	mm10	chr18:31635981-31636099	+	118	NM_001357555	Sap130	ENSMUSG00000024260	2	2: RPF,cORF	CIRCexplorer2
Condition-dependent	Mouse	mmu_circUbe2d2a_001	mm10	chr18:35793464-35801367	+	374	NM_019912	Ube2d2a	ENSMUSG00000091896	1	3: RPF,cORF,m6A	CIRCexplorer2
Condition-dependent	Mouse	mmu_circZfp532_001	mm10	chr18:65638749-65656632	+	804	NM_001361052	Zfp532	ENSMUSG00000042439	1	3: RPF,cORF,m6A	CIRCexplorer2,CIRI2
Condition-dependent	Mouse	mmu_circRbm4_001	mm10	chr19:4792397-4794009	-	617	NM_001290124	Rbm4	ENSMUSG00000094936	3	3: RPF,cORF,m6A	CIRI2
Condition-dependent	Mouse	mmu_circLtbp3_001	mm10	chr19:5756793-5756931	+	138	NM_008520	Ltbp3	ENSMUSG00000024940	1	3: RPF,cORF,m6A	CIRCexplorer2
Condition-dependent	Mouse	mmu_circGlis3_001	mm10	chr19:28530872-28531986	-	1114	NM_175459	Glis3	ENSMUSG00000052942	1	3: RPF,cORF,m6A	CIRI2,CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circPank1_001	mm10	chr19:34840756-34841109	-	353	NM_001114339	Pank1	ENSMUSG00000033610	1	3: RPF,cORF,m6A	CIRI2,CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circNhlrc2_001	mm10	chr19:56570415-56576284	+	708	NM_025811	Nhlrc2	ENSMUSG00000025078	1	3: RPF,cORF,m6A	CIRI2,CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circNhlrc2_002	mm10	chr19:56574757-56576284	+	252	NM_025811	Nhlrc2	ENSMUSG00000025078	1	2: RPF,cORF	CIRI2,CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circEif3a_001	mm10	chr19:60764031-60764233	-	202	NM_010123	Eif3a	ENSMUSG00000024991	2	3: RPF,cORF,m6A	CIRI2,CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circTspan7_001	mm10	chrX:10579314-10585652	+	516	NM_019634	Tspan7	ENSMUSG00000058254	1	3: RPF,cORF,m6A	CIRI2,CIRCexplorer2
Condition-dependent	Mouse	mmu_circLamp2_001	mm10	chrX:38424266-38442140	-	1053	NM_010685	Lamp2	ENSMUSG00000016534	1	3: RPF,cORF,m6A	CIRI2
Condition-dependent	Mouse	mmu_circZfx_001	mm10	chrX:94098282-94102380	-	660	NM_011768	Zfx	ENSMUSG00000079509	1	3: RPF,cORF,m6A	CIRCexplorer2,DCC
Condition-dependent	Mouse	mmu_circPcdh19_001	mm10	chrX:133625268-133681408	-	557	NM_001105246	Pcdh19	ENSMUSG00000051323	1	3: RPF,cORF,m6A	CIRI2
Condition-dependent	Mouse	mmu_circKdm5c_001	mm10	chrX:152253423-152253861	+	345	NM_013668	Kdm5c	ENSMUSG00000025332	1	3: RPF,cORF,m6A	CIRCexplorer2,CIRI2
